seisme 3
MFF0PG 0 130603225539.633      56.554 S0    0.034     0.045
PY26PG 0 1306032256 3.349                   0.026
PY42PG 0 130603225530.039      40.809 S0    0.015     0.044
PY46PG 0 130603225536.994      53.233 S0    0.052     0.039
PY47PG 0 130603225547.116                   0.007
PY48PG 0 130603225554.544      82.558 S0    0.007     0.005
PY49PN 0 130603225550.725                   0.016
PY4APG 0 130603225529.854                   0.026
PY92PG 0 130603225542.806      62.577 S0    0.073     0.103
PY94PG 0 130603225528.842      39.199 S0    0.018     0.015
PY95PN 0 130603225544.873                   0.010
PY97PG 0 130603225521.673      26.576 S0    0.017     0.024
ROT2PG 0 130603225543.618      64.079 S0    0.022     0.117
