seisme 1
CCA1PN 0 110703164716.089                   0.038
CHIFPG 0 110703164653.931                   0.127
CHIFPN 0 110703164651.207                   0.119
JSA0PG 0 110703164656.953      80.709 S0    0.132     0.062
PY41PG 0 110703164652.085                   0.028
PY43PG 0 110703164635.258      43.922 S0    0.118     0.195
PY45PG 0 110703164627.518      30.866 S0    0.021     0.048
PY46PG 0 110703164640.677      53.306 S0    0.097     0.085
PY47PG 0 110703164651.228      71.305 S0    0.048     0.065
PY48PG 0 110703164658.174                   0.057
PY49PG 0 1107031647 0.575                   0.104
RENFPG 0 110703164638.837      49.866 S0    0.058     0.069
ROT2PG 0 110703164646.209      62.762 S0    0.054     0.185
ROT2PN 0 110703164645.112      60.665 S0    0.043     0.165
