seisme 4
CCA1PN 0 130703213744.652                   0.034
CHIFPG 0 130703213751.074                   0.040
CHIFPN 0 130703213743.904                   0.021
JSA0PG 0 130703213713.808      22.216 S0    0.022     0.047
MFF0PG 0 130703213744.592      74.360 S0    0.139     0.113
MFF0PN 0 130703213739.286                   0.188
PY42PG 0 130703213743.275                   0.053
PY46PG 0 130703213726.463      44.244 S0    0.081     0.195
PY47PG 0 130703213732.987      54.363 S0    0.006     0.030
PY47PN 0 130703213729.217                   0.013
PY49PN 0 130703213730.069                   0.021
PY4APG 0 130703213724.802      40.492 S0    0.048     0.075
PY4APN 0 130703213723.344                   0.016
PY91PG 0 130703213725.474      41.697 S0    0.083     0.112
PY92PG 0 1307032137 8.309      12.710 S0    0.022     0.038
PY94PG 0 130703213723.656      38.841 S0    0.046     0.138
PY94PN 0 130703213722.435                   0.023
PY95PG 0 130703213724.330      39.774 S0    0.111     0.048
PY95PN 0 130703213723.460                   0.090
PY97PG 0 130703213728.633      46.960 S0    0.018     0.069
RENFPG 0 130703213711.722      18.414 S0    0.011     0.004
