seisme 5
CCA1PN 0 130706140342.464                   0.114
CHIFPG 0 130706140411.949                   0.129
CHIFPN 0 1307061404 2.142                   0.012
DYA0PG 0 130706140341.727      62.667 S0    0.070     0.039
DYA0PN 0 130706140338.843                   0.015
JSA0PG 0 130706140324.193      33.405 S0    0.068     0.036
MFF0PG 0 1307061404 7.146      46.335 S0    0.031     0.184
MFF0PN 0 130706140358.871      91.810 S0    0.047     0.130
PY42PG 0 1307061404 2.843                   0.080
PY46PG 0 130706140333.273      48.022 S0    0.014     0.109
PY46PN 0 130706140332.037                   0.035
PY47PG 0 130706140333.525      48.633 S0    0.044     0.097
PY47PN 0 130706140332.241                   0.019
PY48PG 0 130706140333.155      48.561 S0    0.098     0.310
PY49PG 0 130706140329.305      41.938 S0    0.016     0.062
PY4APG 0 130706140336.106      53.161 S0    0.153     0.265
PY91PG 0 130706140322.772      30.845 S0    0.030     0.115
PY92PG 0 130706140323.250      31.669 S0    0.012     0.050
PY94PG 0 130706140344.763      68.349 S0    0.051     0.079
PY94PN 0 130706140341.364                   0.150
PY95PG 0 130706140348.761      74.848 S0    0.017     0.183
PY95PN 0 130706140344.925                   0.005
PY97PG 0 130706140347.979      73.852 S0    0.161     0.062
PY97PN 0 130706140343.570                   0.056
RENFPG 0 130706140334.941      50.776 S0    0.020     0.054
